date,hour,type,AOTI
20180201,12,AQI,80
20180202,12,AQI,28
20180203,12,AQI,20
20180204,12,AQI,46
20180205,12,AQI,23
20180206,12,AQI,47
20180207,12,AQI,66
20180208,12,AQI,176
20180209,12,AQI,103
20180210,12,AQI,41
20180211,12,AQI,64
20180212,12,AQI,29
20180213,12,AQI,94
20180214,12,AQI,23
20180215,12,AQI,
20180216,12,AQI,28
20180217,12,AQI,99
20180218,12,AQI,164
20180219,12,AQI,174
20180220,12,AQI,29
20180221,12,AQI,74
20180222,12,AQI,38
20180223,12,AQI,56
20180224,12,AQI,37
20180225,12,AQI,60
20180226,12,AQI,186
20180227,12,AQI,213
20180228,12,AQI,149
20180301,12,AQI,26
20180302,12,AQI,104
20180303,12,AQI,235
20180304,12,AQI,176
20180305,12,AQI,103
20180306,12,AQI,89
20180307,12,AQI,70
20180308,12,AQI,37
20180309,12,AQI,120
20180310,12,AQI,191
20180311,12,AQI,80
20180312,12,AQI,179
20180313,12,AQI,296
20180314,12,AQI,242
20180315,12,AQI,27
20180316,12,AQI,50
20180317,12,AQI,89
20180318,12,AQI,139
20180319,12,AQI,40
20180320,12,AQI,26
20180321,12,AQI,94
20180322,12,AQI,124
20180323,12,AQI,
20180324,12,AQI,83
20180325,12,AQI,61
20180326,12,AQI,179
20180327,12,AQI,258
20180328,12,AQI,500
20180329,12,AQI,124
20180330,12,AQI,55
20180331,12,AQI,130
