Time,AQI
1/2/15 12:00,35
1/3/15 12:00,195
1/4/15 12:00,123
1/5/15 12:00,117
1/6/15 12:00,20
1/7/15 12:00,64
1/8/15 12:00,107
1/9/15 12:00,20
1/10/15 12:00,178
1/11/15 12:00,16
1/12/15 12:00,177
1/13/15 12:00,131
1/14/15 12:00,252
1/15/15 12:00,261
1/16/15 12:00,54
1/17/15 12:00,68
1/18/15 12:00,112
1/19/15 12:00,62
1/20/15 12:00,130
1/21/15 12:00,20
1/22/15 12:00,165
1/23/15 12:00,212
1/24/15 12:00,117
1/25/15 12:00,119
1/26/15 12:00,23
1/27/15 12:00,19
1/28/15 12:00,19
1/29/15 12:00,117
1/30/15 12:00,18
1/31/15 12:00,34
2/1/15 12:00,59
2/2/15 12:00,118
2/3/15 12:00,234
2/4/15 12:00,28
2/5/15 12:00,25
2/6/15 12:00,50
2/7/15 12:00,27
2/8/15 12:00,28
2/9/15 12:00,100
2/10/15 12:00,71
2/11/15 12:00,50
2/12/15 12:00,30
2/13/15 12:00,124
2/14/15 12:00,266
2/15/15 12:00,326
2/16/15 12:00,133
2/17/15 12:00,49
2/18/15 12:00,27
2/19/15 12:00,243
2/20/15 12:00,128
2/21/15 12:00,280
2/22/15 12:00,89
2/23/15 12:00,70
2/24/15 12:00,132
2/25/15 12:00,26
2/26/15 12:00,25
2/27/15 12:00,35
2/28/15 12:00,203
3/1/15 12:00,54
3/2/15 12:00,120
3/3/15 12:00,25
3/4/15 12:00,23
3/5/15 12:00,178
3/6/15 12:00,242
3/7/15 12:00,268
3/8/15 12:00,149
3/9/15 12:00,27
3/10/15 12:00,25
3/11/15 12:00,26
3/12/15 12:00,123
3/13/15 12:00,40
3/14/15 12:00,127
3/15/15 12:00,110
3/16/15 12:00,239
3/17/15 12:00,176
3/18/15 12:00,46
3/19/15 12:00,126
3/20/15 12:00,125
3/21/15 12:00,59
3/22/15 12:00,28
3/23/15 12:00,35
3/24/15 12:00,97
3/25/15 12:00,208
3/26/15 12:00,195
3/27/15 12:00,148
3/28/15 12:00,500
3/29/15 12:00,452
3/30/15 12:00,309
3/31/15 12:00,192
4/1/15 12:00,38
4/2/15 12:00,49
4/3/15 12:00,38
4/4/15 12:00,103
4/5/15 12:00,75
4/6/15 12:00,27
4/7/15 12:00,27
4/8/15 12:00,117
4/9/15 12:00,223
4/10/15 12:00,255
4/11/15 12:00,180
4/12/15 12:00,29
4/13/15 12:00,40
4/14/15 12:00,64
4/15/15 12:00,204
4/16/15 12:00,39
4/17/15 12:00,120
4/18/15 12:00,235
4/19/15 12:00,76
4/20/15 12:00,78
4/21/15 12:00,124
4/22/15 12:00,73
4/23/15 12:00,108
4/24/15 12:00,101
4/25/15 12:00,119
4/26/15 12:00,192
4/27/15 12:00,158
4/28/15 12:00,57.5
4/29/15 12:00,179
4/30/15 12:00,215
5/1/15 12:00,241
5/2/15 12:00,74
5/3/15 12:00,61
5/4/15 12:00,51
5/5/15 12:00,97
5/6/15 12:00,43
5/7/15 12:00,82
5/8/15 12:00,113
5/9/15 12:00,45
5/10/15 12:00,60
5/11/15 12:00,40
5/12/15 12:00,36
5/13/15 12:00,71
5/14/15 12:00,34
5/15/15 12:00,32
5/16/15 12:00,52
5/17/15 12:00,189
5/18/15 12:00,65
5/19/15 12:00,73
5/20/15 12:00,36
5/21/15 12:00,72
5/22/15 12:00,123
5/23/15 12:00,186
5/24/15 12:00,213
5/25/15 12:00,168
5/26/15 12:00,172
5/27/15 12:00,134
5/28/15 12:00,175
5/29/15 12:00,102
5/30/15 12:00,99
5/31/15 12:00,100
6/1/15 12:00,167
6/2/15 12:00,45.5
6/3/15 12:00,88
6/4/15 12:00,65
6/5/15 12:00,87
6/6/15 12:00,68
6/7/15 12:00,30
6/8/15 12:00,32
6/9/15 12:00,113
6/10/15 12:00,29
6/11/15 12:00,53
6/12/15 12:00,33
6/13/15 12:00,34
6/14/15 12:00,40
6/15/15 12:00,166
6/16/15 12:00,212
6/17/15 12:00,78
6/18/15 12:00,35
6/19/15 12:00,32
6/20/15 12:00,42
6/21/15 12:00,80
6/22/15 12:00,139
6/23/15 12:00,330
6/24/15 12:00,189
6/25/15 12:00,234
6/26/15 12:00,148
6/27/15 12:00,120
6/28/15 12:00,246
6/29/15 12:00,257
6/30/15 12:00,20
7/1/15 12:00,35
7/2/15 12:00,33
7/3/15 12:00,36
7/4/15 12:00,54
7/5/15 12:00,99
7/6/15 12:00,93
7/7/15 12:00,119
7/8/15 12:00,226
7/9/15 12:00,131
7/10/15 12:00,90
7/11/15 12:00,214
7/12/15 12:00,206
7/13/15 12:00,120
7/14/15 12:00,116
7/15/15 12:00,77
7/16/15 12:00,52
7/17/15 12:00,38
7/18/15 12:00,65
7/19/15 12:00,149
7/20/15 12:00,128
7/21/15 12:00,234
7/22/15 12:00,123
7/23/15 12:00,70
7/24/15 12:00,97
7/25/15 12:00,168
7/26/15 12:00,150
7/27/15 12:00,92
7/28/15 12:00,55
7/29/15 12:00,132
7/30/15 12:00,98
7/31/15 12:00,43
8/1/15 12:00,31
8/2/15 12:00,67
8/3/15 12:00,24
8/4/15 12:00,50
8/5/15 12:00,122
8/6/15 12:00,41
8/7/15 12:00,165
8/8/15 12:00,33
8/9/15 12:00,54
8/10/15 12:00,44
8/11/15 12:00,129
8/12/15 12:00,114
8/13/15 12:00,196
8/14/15 12:00,34
8/15/15 12:00,36
8/16/15 12:00,103
8/17/15 12:00,21
8/18/15 12:00,97
8/19/15 12:00,95
8/20/15 12:00,74
8/21/15 12:00,40
8/22/15 12:00,32
8/23/15 12:00,31
8/24/15 12:00,31
8/25/15 12:00,31
8/26/15 12:00,36
8/27/15 12:00,36
8/28/15 12:00,35
8/29/15 12:00,44
8/30/15 12:00,45
8/31/15 12:00,39
9/1/15 12:00,18
9/2/15 12:00,27
9/3/15 12:00,32
9/4/15 12:00,105
9/5/15 12:00,39
9/6/15 12:00,31
9/7/15 12:00,30
9/8/15 12:00,80
9/9/15 12:00,54
9/10/15 12:00,18
9/11/15 12:00,22
9/12/15 12:00,23
9/13/15 12:00,29
9/14/15 12:00,156
9/15/15 12:00,166
9/16/15 12:00,228
9/17/15 12:00,219
9/18/15 12:00,62
9/19/15 12:00,29
9/20/15 12:00,128
9/21/15 12:00,190
9/22/15 12:00,256
9/23/15 12:00,32
9/24/15 12:00,241
9/25/15 12:00,26
9/26/15 12:00,56
9/27/15 12:00,84
9/28/15 12:00,73
9/29/15 12:00,62
9/30/15 12:00,33
10/1/15 12:00,32
10/2/15 12:00,49
10/3/15 12:00,63
10/4/15 12:00,71
10/5/15 12:00,295
10/6/15 12:00,331
10/7/15 12:00,360
10/8/15 12:00,18
10/9/15 12:00,40
10/10/15 12:00,23
10/11/15 12:00,27
10/12/15 12:00,22
10/13/15 12:00,42
10/14/15 12:00,155
10/15/15 12:00,110
10/16/15 12:00,248
10/17/15 12:00,354
10/18/15 12:00,54
10/19/15 12:00,75
10/20/15 12:00,102
10/21/15 12:00,58
10/22/15 12:00,24
10/23/15 12:00,83
10/24/15 12:00,57
10/25/15 12:00,59
10/26/15 12:00,78
10/27/15 12:00,28
